Школа,Область,Район,Дата заповнення анкети,"В Україні незаможні люди, зазвичай, є кращими, ніж люди із великими статками",Для вирішення проблеми корупції потрібно посадити всіх корупціонерів за грати,Запорукою успіху в житті є…?,Вчитись потрібно в першу чергу тому що…?,Якою мірою слід дозволяти переїжджати до України людям іншої раси чи національності,Хто така еліта?,Пропозиції «швидко розбагатіти в інтернеті» можуть бути дійсно хорошими,"За погану дорогу в селі, в першу чергу, несе відповідальність…",В Україні існує достатньо можливостей заробляти багато грошей чесним способом,Говорити про секс – соромно,Якщо щось пішло не так – у першу чергу потрібно знайти винних і покарати їх,Якщо щось пішло не так – у першу чергу треба знайти винних і покарати чи знайти збої в системі і причини помилки?,Який із запропонованих сценаріїв життя був би найбільш прийнятним для тебе?,Що ти думаєш про майбутнє України?,Кому ти найбільше довіряєш?,Наука – це щось нудне й далеке від практичного життя,Керівництво держави має отримувати заробітну плату не більше ніж середньостатистичний громадянин,"Якщо є людина, що курила і дожила до 100 років, то куріння не є таким шкідливим, як про це говорять","Для суспільства культура та мистецтво менш важливі, ніж деякі інші аспекти",Чи вважаєш ти себе щасливою людиною?,ЛГБТ-людей треба вилікувати чи виправити,"Бізнесмен - це той, хто забезпечує розвиток економіки і наполегливо працює задля досягнення успіху","Наскільки, на твій погляд, нинішня політична система в Україні дозволяє таким людям, як Ти, впливати на політику?",Помилятись – це погано і ознака поразки та неуспіху,"Мати хороше життя, народившись в селі, майже не реально",Ким ти себе перш за все вважаєш?,"Який основний мотив людей в Україні, які йдуть у політику чи на державну службу?",Для мене гідність залежить від мого успіху та визнання іншими,Вік,"З якими проблемами ти можеш звернутися до батьків або інших дорослих, які про тебе піклуються?","Чи вистачає тобі спілкування з батьками/іншими дорослими, які тебе опікають?",Стать
Лохвицька гімназія,Полтавська область,Миргородський,2024-03-29,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,"А я вважаю, що навчання - це порожня трата часу",NA,NA,"Так, повністю погоджуюсь",NA,"Ні, повністю не погоджуюсь",NA,NA,Винних,NA,NA,NA,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",NA,"Так, повністю погоджуюсь",Дуже нещасливий,NA,"Ні, повністю не погоджуюсь",NA,NA,"Ні, повністю не погоджуюсь",NA,NA,NA,NA,NA,NA,NA
Лохвицька гімназія,Полтавська область,Миргородський,2024-03-29,NA,"Так, повністю погоджуюсь",NA,NA,NA,NA,"Так, повністю погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,NA,NA,Тільки собі,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,NA,NA,NA,"Ні, скоріше не погоджуюсь",NA,NA,NA,"Так, скоріше погоджуюсь",NA,"['Дружні стосунки', 'Романтичні стосунки']",NA,NA
Лохвицька гімназія,Полтавська область,Миргородський,2024-03-29,NA,"Так, повністю погоджуюсь",NA,NA,NA,NA,"Так, скоріше погоджуюсь",NA,"Так, скоріше погоджуюсь",NA,"Так, повністю погоджуюсь",NA,NA,NA,Тільки собі,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Ні, скоріше не погоджуюсь",NA,NA,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",NA,NA,"Так, повністю погоджуюсь",15,"['Шкідливі речовини', 'Проблеми в школі', 'Романтичні стосунки', 'Дружні стосунки', 'Конфлікти з членами родини']","Так, скоріше вистачає",дівчина
Лохвицька гімназія,Полтавська область,Миргородський,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",NA,NA,NA,Тільки собі,"Ні, скоріше не погоджуюсь",NA,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",NA,"Ні, скоріше не погоджуюсь",NA,NA,"Ні, повністю не погоджуюсь",NA,NA,NA,"Так, скоріше погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки', 'Проблеми в школі']",NA,дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться",Тільки собі,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Нещасливий,Важко відповісти,"Так, скоріше погоджуюсь",Важко відповісти,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,"Ні, скоріше не погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Так, скоріше вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,Важко відповісти,Важко відповісти,NA,NA,Важко відповісти,NA,Важко відповісти,Важко сказати,Важко відповісти,Важко відповісти,Важко відповісти,NA,Важко відповісти,Важко відповісти,Нікому,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,NA,"Так, повністю погоджуюсь",NA,Важко відповісти,Важко відповісти,Важко відповісти,"Мешканцем села, району чи міста, в якому ти живеш",Важко сказати,Важко відповісти,16,Важко відповісти,"Так, повністю вистачає",хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, повністю погоджуюсь",Важко відповісти,Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, повністю погоджуюсь","Центральна влада (Президент, Уряд, Верховна рада України)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Тільки собі,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Нейтрально,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,NA,"Ні, скоріше не погоджуюсь",Громадянином світу,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",15,"['Проблеми в школі', 'Конфлікти з членами родини', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Ні, скоріше  не вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Важко відповісти,Слід дозволяти деяким таким людям,NA,Важко відповісти,NA,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",NA,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Важко відповісти,Тільки собі,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Нейтрально,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь",Важко відповісти,Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",14,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Проблеми в школі', 'Дружні стосунки']","Так, скоріше вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Походження та гени,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь",Кожен житель села особисто,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Знайти збої,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Нікому,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,Важко відповісти,"Ні, повністю не погоджуюсь",Важко відповісти,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,"Ні, скоріше не погоджуюсь",16,"['Дружні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Романтичні стосунки', 'Проблеми в школі']","Так, скоріше вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,NA,Слід дозволяти лише небагатьом таким людям,NA,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Рівнозначно,Важко відповісти,"Ситуація не буде погіршуватись, але навряд чи і покращиться",Тільки собі,"Ні, скоріше не погоджуюсь",Важко відповісти,NA,"Так, скоріше погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,NA,14,"['Романтичні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Ні, повністю не вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти деяким таким людям,NA,"Ні, скоріше не погоджуюсь","Центральна влада (Президент, Уряд, Верховна рада України)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Радше знайти збої,Важко відповісти,Скоріш за все ситуація буде погіршуватись,Тільки собі,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином світу,Покращити власне матеріальне становище або просто красти,"Ні, скоріше не погоджуюсь",16,"['Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Цькування в соцмережах', 'Конфлікти з членами родини', 'Проблеми в школі']","Ні, скоріше  не вистачає",хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Радше винних,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",NA,Тільки собі,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Важко відповісти,Нейтрально,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",15,"['Конфлікти з членами родини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки', 'Романтичні стосунки', 'Проблеми в школі']","Ні, повністю не вистачає",хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,NA,NA,Випадковість і везіння,NA,Слід дозволяти багатьом таким людям переїжджати до України,NA,NA,NA,NA,NA,NA,NA,Важко відповісти,Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Зовсім не дозволяє,NA,NA,"Мешканцем села, району чи міста, в якому ти живеш",NA,NA,NA,NA,NA,NA
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Походження та гени,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь",NA,Громадянином світу,Задовольнити власні амбіції,"Так, скоріше погоджуюсь",NA,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки']","Ні, скоріше  не вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Гарні зв’язки із впливовими людьми,NA,Не дозволяти нікому,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Радше знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде покращуватись,Тільки собі,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Важко відповісти,Щасливий,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Певною мірою дозволяє,"Так, повністю погоджуюсь",NA,Громадянином України,NA,NA,NA,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]",NA,хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти деяким таким людям,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,Тільки собі,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Ні, скоріше не погоджуюсь",15,Проблеми в школі,"Так, скоріше вистачає",дівчина
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,NA,"Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,NA,Слід дозволяти деяким таким людям,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",NA,NA,"Навчатись за кордоном, лишитись там працювати і будувати там нове життя",Важко відповісти,NA,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",NA,"Так, скоріше погоджуюсь",NA,NA,NA,Певною мірою дозволяє,Важко відповісти,NA,Громадянином України,Задовольнити власні амбіції,"Ні, скоріше не погоджуюсь",NA,Проблеми в школі,NA,NA
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,Важко відповісти,"Так, скоріше погоджуюсь",Походження та гени,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти лише небагатьом таким людям,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Важко відповісти,Радше знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Скоріш за все ситуація буде погіршуватись,Тільки собі,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Представником свого етносу, нації",Покращити власне матеріальне становище або просто красти,NA,15,"['Конфлікти з членами родини', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Так, повністю вистачає",хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Зовсім не дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Слід дозволяти лише небагатьом таким людям,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь",NA,NA,Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,Вчителям,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Ні, повністю не погоджуюсь",Нейтрально,NA,"Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Представником свого етносу, нації",NA,"Ні, повністю не погоджуюсь",NA,NA,NA,NA
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",NA,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти лише небагатьом таким людям,NA,"Ні, повністю не погоджуюсь",Важко сказати,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",NA,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Щасливий,Важко відповісти,"Так, повністю погоджуюсь",Повністю дозволяє,Важко відповісти,"Ні, повністю не погоджуюсь",NA,Задовольнити власні амбіції,NA,16,Проблеми в школі,"Так, повністю вистачає",хлопець
Лохвицька ЗОШ №3,Полтавська область,Миргородський,2024-03-29,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,"А я вважаю, що навчання - це порожня трата часу",Не дозволяти нікому,NA,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Знайти збої,Важко відповісти,NA,Тільки собі,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",NA,NA,"Так, скоріше погоджуюсь",NA,"['Романтичні стосунки', 'Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі', 'Дружні стосунки']",NA,NA
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",15,NA,NA,дівчина
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Радше знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Щасливий,NA,"Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином світу,Задовольнити власні амбіції,NA,15,NA,NA,дівчина
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Винних,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, повністю погоджуюсь",15,NA,NA,дівчина
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,"Ні, скоріше не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Певною мірою дозволяє,"Ні, скоріше не погоджуюсь",NA,Громадянином України,Покращити життя певної доволі великої групи громадян,"Так, скоріше погоджуюсь",15,NA,NA,дівчина
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",NA,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,NA,15,NA,NA,NA
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Винних,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, повністю погоджуюсь",16,NA,NA,дівчина
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,NA,NA,Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,Винних,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,NA,NA,NA,NA,Дуже щасливий,NA,NA,Дуже мало дозволяє,NA,NA,Громадянином України,Покращити життя в Україні для всіх громадян,NA,NA,NA,NA,NA
Опорний заклад Гребінківська ЗОШ І-ІІІ ст. № 4,Полтавська область,Лубенський,2023-09-25,Важко відповісти,"Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем регіону (області чи кількох областей), де ти живеш",Покращити життя в Україні для всіх громадян,Важко відповісти,15,NA,NA,дівчина
